record_id,decision_id,decision_timestamp,transaction_id,attempt_id,transaction_amount,currency,payment_method,failure_category,failure_reason_present,failure_reason_text,attempt_number,prior_failed_attempt_count,prior_temporary_failure_count,prior_payment_method_history,candidate_action,selected_action,action_executed,recovery_success,recovery_outcome,outcome_timestamp,dataset_version,schema_version
record_00000001,decision_000000000043,2025-01-01T00:28:06.810Z,txn_000000000043,attempt_000000000043,19820,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,kyc verification required,1,0,0,"[""UPI"",""UPI"",""CARD""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,1,SUCCESS,2025-01-01T06:09:41.062Z,v1,6.2.1
record_00000002,decision_000000000044,2025-01-01T01:31:25.152Z,txn_000000000044,attempt_000000000044,10990,INR,CARD,TEMPORARY_FAILURE,true,gateway timeout,5,0,0,"[""UPI"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-01T03:37:31.401Z,v1,6.2.1
record_00000003,decision_000000000045,2025-01-01T03:25:02.819Z,txn_000000000045,attempt_000000000045,800,INR,CARD,CUSTOMER_ACTION_REQUIRED,true,otp verification required,3,0,0,"[""CARD""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-01T07:29:52.176Z,v1,6.2.1
record_00000004,decision_000000000046,2025-01-01T05:00:38.076Z,txn_000000000046,attempt_000000000046,28820,INR,NET_BANKING,TEMPORARY_FAILURE,true,temporary connectivity issue,2,0,0,"[""NET_BANKING"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-01T09:40:08.779Z,v1,6.2.1
record_00000005,decision_000000000047,2025-01-01T06:32:22.914Z,txn_000000000047,attempt_000000000047,750,INR,UPI,TEMPORARY_FAILURE,true,network instability,4,3,0,"[""CARD"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-01T12:38:56.057Z,v1,6.2.1
record_00000006,decision_000000000048,2025-01-01T07:44:31.986Z,txn_000000000048,attempt_000000000048,15670,INR,NET_BANKING,UNKNOWN_FAILURE,true,unknown payment exception,3,1,1,"[""NET_BANKING"",""NET_BANKING"",""UPI""]",CUSTOMER_ACTION,CUSTOMER_ACTION,true,0,FAILED,2025-01-01T12:37:07.328Z,v1,6.2.1
record_00000007,decision_000000000049,2025-01-01T09:04:12.831Z,txn_000000000049,attempt_000000000049,34400,INR,CARD,TEMPORARY_FAILURE,true,temporary connectivity issue,2,1,1,"[""CARD""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-01T12:25:21.293Z,v1,6.2.1
record_00000008,decision_000000000050,2025-01-01T10:58:18.039Z,txn_000000000050,attempt_000000000050,1430,INR,CARD,TEMPORARY_FAILURE,true,network instability,4,1,0,"[""NET_BANKING""]",RETRY,RETRY,true,1,SUCCESS,2025-01-01T16:47:34.622Z,v1,6.2.1
record_00000009,decision_000000000051,2025-01-01T12:27:10.617Z,txn_000000000051,attempt_000000000051,6970,INR,UPI,PAYMENT_METHOD_FAILURE,true,card declined,5,4,1,"[""UPI"",""UPI"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-01T15:53:18.253Z,v1,6.2.1
record_00000010,decision_000000000052,2025-01-01T13:55:14.603Z,txn_000000000052,attempt_000000000052,1590,INR,UPI,UNKNOWN_FAILURE,true,unknown payment exception,5,0,0,"[""UPI"",""UPI"",""NET_BANKING""]",ESCALATE,ESCALATE,true,0,FAILED,2025-01-01T16:10:32.683Z,v1,6.2.1
record_00000011,decision_000000000053,2025-01-01T15:13:26.706Z,txn_000000000053,attempt_000000000053,730,INR,UPI,PAYMENT_METHOD_FAILURE,true,upi app unavailable,3,0,0,"[""UPI"",""UPI"",""UPI""]",ALTERNATE_METHOD,ALTERNATE_METHOD,true,1,SUCCESS,2025-01-01T17:38:50.924Z,v1,6.2.1
record_00000012,decision_000000000054,2025-01-01T17:06:31.588Z,txn_000000000054,attempt_000000000054,2620,INR,UPI,TEMPORARY_FAILURE,true,gateway timeout,2,1,1,"[""NET_BANKING"",""UPI"",""UPI""]",RETRY,RETRY,true,1,SUCCESS,2025-01-01T20:14:41.814Z,v1,6.2.1
