transaction_amount,attempt_number,prior_failed_attempt_count,prior_temporary_failure_count,has_failure_reason,currency__INR,currency__USD,currency__AED,payment_method_attempted__UPI,payment_method_attempted__CARD,payment_method_attempted__NET_BANKING,failure_category__TEMPORARY_FAILURE,failure_category__PAYMENT_METHOD_FAILURE,failure_category__CUSTOMER_ACTION_REQUIRED,failure_category__UNKNOWN_FAILURE,candidate_action_type__RETRY,candidate_action_type__ALTERNATE_METHOD,candidate_action_type__CUSTOMER_ACTION,candidate_action_type__ESCALATE
19820,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
10990,5,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
800,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
28820,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
750,4,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
15670,3,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
34400,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1430,4,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
6970,5,4,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1590,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
730,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2620,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
630,3,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
6050,4,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
7040,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1770,3,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
700,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5410,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1160,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1060,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
19330,5,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
950,4,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1770,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
6750,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2530,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
15380,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
11560,4,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
25250,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
4880,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
14420,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
610,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
590,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1990,4,3,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
16530,5,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
10510,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1330,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
4580,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
3640,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
23410,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
610,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
28740,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
36540,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
980,5,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
4570,5,3,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
610,4,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1190,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
600,5,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6880,3,2,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1530,5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1210,4,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
760,5,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
680,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
23200,2,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1300,4,2,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
10050,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1580,4,2,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
630,4,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1690,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1910,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2960,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1540,4,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
16840,3,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
17160,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
11870,5,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1430,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
980,5,4,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3410,2,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
18830,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
15310,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
8180,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
35470,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
3880,5,3,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
28750,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
870,3,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
2400,5,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
27910,4,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5130,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2260,2,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
14040,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1280,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
830,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
4850,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
19060,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
4060,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
26220,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
8470,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
800,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1560,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
26020,4,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
650,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
11010,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
2790,5,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2010,3,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
670,5,2,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
830,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
760,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
710,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
6610,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
10270,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
630,5,4,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2330,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
8260,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
670,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1380,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
11180,5,4,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
860,4,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
930,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1090,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1080,5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
22580,4,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2790,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
19290,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
670,5,3,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
610,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
8500,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
730,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
22030,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5580,5,4,4,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
610,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1000,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1030,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
830,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
19370,4,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
690,3,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
590,5,4,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1920,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
38090,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1740,5,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
14350,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2520,4,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1360,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
4970,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
7930,3,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
6090,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
4600,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
3130,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
12280,3,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
710,4,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1980,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
3240,4,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
11590,5,3,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
6220,5,4,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
23910,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
660,5,4,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1090,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
620,5,2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
7390,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
610,5,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2350,5,2,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
2960,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
750,5,3,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
13710,4,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
7460,5,2,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
810,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3900,4,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
610,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5030,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1820,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
14690,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1020,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1310,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1270,5,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
6000,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
2240,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
36170,3,2,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
