transaction_amount,attempt_number,prior_failed_attempt_count,prior_temporary_failure_count,has_failure_reason,currency__INR,currency__USD,currency__AED,payment_method_attempted__UPI,payment_method_attempted__CARD,payment_method_attempted__NET_BANKING,failure_category__TEMPORARY_FAILURE,failure_category__PAYMENT_METHOD_FAILURE,failure_category__CUSTOMER_ACTION_REQUIRED,failure_category__UNKNOWN_FAILURE,candidate_action_type__RETRY,candidate_action_type__ALTERNATE_METHOD,candidate_action_type__CUSTOMER_ACTION,candidate_action_type__ESCALATE,recovery_success
19820,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
10990,5,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
800,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
28820,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
750,4,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
15670,3,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
34400,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1430,4,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6970,5,4,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1590,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
730,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2620,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
630,3,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6050,4,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7040,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1770,3,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
700,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5410,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1160,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1060,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
19330,5,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
950,4,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1770,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
6750,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2530,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
15380,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
11560,4,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
25250,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
4880,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
14420,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
610,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
590,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1990,4,3,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16530,5,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
10510,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1330,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
4580,5,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3640,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
23410,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
610,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
28740,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
36540,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
980,5,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
4570,5,3,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
610,4,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1190,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
600,5,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
6880,3,2,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1530,5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1210,4,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
760,5,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
680,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
23200,2,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1300,4,2,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
10050,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1580,4,2,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
